standard_inchikeys,standard_smiles
HLVFKOKELQSXIQ-UHFFFAOYSA-N,CC(C)CBr
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C
SPANOECCGNXGNR-UHFFFAOYSA-N,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
LAOZSCRCYVBSJA-UHFFFAOYSA-N,CC1(C)C(=O)NC(=O)NC1=O
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1
UOAMTSKGCBMZTC-UHFFFAOYSA-N,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
ODLMAHJVESYWTB-UHFFFAOYSA-N,CCCc1ccccc1
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC
JHEFOJNPLXSWNZ-UHFFFAOYSA-N,CC(=O)Nc1ccc(F)cc1
XEFQLINVKFYRCS-UHFFFAOYSA-N,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
KOCYTWBTXZOUFS-UHFFFAOYSA-N,Cc1cnc2cncnc2n1
DZBUGLKDJFMEHC-UHFFFAOYSA-N,c1ccc2nc3ccccc3cc2c1
YRHYCMZPEVDGFQ-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC
FZSVSABTBYGOQH-UHFFFAOYSA-N,CNC(=O)ON=C(CSC)C(C)(C)C
RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1
KIVUHCNVDWYUNP-UHFFFAOYSA-N,Nc1cc2c3ccccc3ccc2c2ccccc12
FRCCEHPWNOQAEU-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
NMWSKOLWZZWHPL-UHFFFAOYSA-N,Clc1cccc(-c2ccccc2)c1
ZGHQUYZPMWMLBM-UHFFFAOYSA-N,Clc1ccc(-c2ccccc2)cc1Cl
XGMPVBXKDAHORN-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
QCMQDLGMYAJPLB-UHFFFAOYSA-N,COC1=CC2OC3C=CC(=O)CC3C(=O)C2C(=O)C1
HFZWRUODUSTPEG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cl
JTGMTYWYUZDRBK-UHFFFAOYSA-N,Cc1c2ccccc2c(C)c2ccccc12
PQVZDTWRGIHYCU-UHFFFAOYSA-N,O=C1NC(=O)C2(CC2)C(=O)N1
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O
GVYLCNUFSHDAAW-UHFFFAOYSA-N,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
XYWDPYKBIRQXQS-UHFFFAOYSA-N,CC(C)SC(C)C
SGEJQUSYQTVSIU-UHFFFAOYSA-N,CCCCN(CC)C(=O)SCCC
KJCVRFUGPWSIIH-UHFFFAOYSA-N,Oc1cccc2ccccc12
GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr
ZRSNZINYAWTAHE-UHFFFAOYSA-N,COc1ccc(C=O)cc1
RRNIZKPFKNDSRS-UHFFFAOYSA-N,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl
PDMMFKSKQVNJMI-UHFFFAOYSA-N,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
QYZLKGVUSQXAMU-UHFFFAOYSA-N,C=CCC=C
GCNTZFIIOFTKIY-UHFFFAOYSA-N,O=c1cc[nH]cc1
YLQBMQCUIZJEEH-UHFFFAOYSA-N,c1ccoc1
FULZLIGZKMKICU-UHFFFAOYSA-N,NC(=S)Nc1ccccc1
XLOMZPUITCYLMJ-UHFFFAOYSA-N,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
YXVFYQXJAXKLAK-UHFFFAOYSA-N,Oc1ccc(-c2ccccc2)cc1
MTZBBNMLMNBNJL-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1
BAYAKMPRFGNNFW-UHFFFAOYSA-N,CC(C)C(O)C(C)C
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O
QBSJMKIUCUGGNG-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1C(C)C
LTEQMZWBSYACLV-UHFFFAOYSA-N,CCCCCCc1ccccc1
BJVVMKUXKQHWJK-UHFFFAOYSA-N,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
NIQCNGHVCWTJSM-UHFFFAOYSA-N,COC(=O)c1ccccc1C(=O)OC
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1
DHTZKRIZYPAKLO-UHFFFAOYSA-N,O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O
VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CCO
DFBKLUNHFCTMDC-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
HJOVHMDZYOCNQW-UHFFFAOYSA-N,CC1=CC(=O)CC(C)(C)C1
RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1
IZUKQUVSCNEFMJ-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
ANIAQSUBRGXWLS-UHFFFAOYSA-N,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
PTBKFATYSVLSSD-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(C=NO)o1
ZSFUDSWIVAQKEN-UHFFFAOYSA-N,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO
RWCCWEUUXYIKHB-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccc1
FWAJPSIPOULHHH-UHFFFAOYSA-N,Brc1ccc(Br)c(Br)c1
OGYFATSSENRIKG-UHFFFAOYSA-N,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
MLRVZFYXUZQSRU-UHFFFAOYSA-N,CCCCCCCl
TYMLOMAKGOJONV-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1
REIUXOLGHVXAEO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCO
YGYNBBAUIYTWBF-UHFFFAOYSA-N,Cc1ccc2cc(C)ccc2c1
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1
BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1
ZUOUZKKEUPVFJK-UHFFFAOYSA-N,c1ccc(-c2ccccc2)cc1
XRECTZIEBJDKEO-UHFFFAOYSA-N,Nc1nc(=O)[nH]cc1F
BYYMILHAKOURNM-UHFFFAOYSA-N,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1
BNIXVQGCZULYKV-UHFFFAOYSA-N,ClC(Cl)C(Cl)(Cl)Cl
DNTHHIVFNQZZRD-UHFFFAOYSA-N,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12
KXDAEFPNCMNJSK-UHFFFAOYSA-N,NC(=O)c1ccccc1
AWIJPALBOQNRBS-UHFFFAOYSA-N,COc1cnc2ncncc2n1
DMLAVOWQYNRWNQ-UHFFFAOYSA-N,c1ccc(N=Nc2ccccc2)cc1
RQZAXGRLVPAYTJ-UHFFFAOYSA-N,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC
VDVCBHJNKZNXKT-UHFFFAOYSA-N,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O
VPUGDVKSAQVFFS-UHFFFAOYSA-N,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
RVWLHPJFOKUPNM-UHFFFAOYSA-N,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
RWQNBRDOKXIBIV-UHFFFAOYSA-N,Cc1c[nH]c(=O)[nH]c1=O
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,CCCCCCCC(=O)OC
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl
TZYRSLHNPKPEFV-UHFFFAOYSA-N,CCC(CC)CO
AUNGANRZJHBGPY-UHFFFAOYSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
MUPFEKGTMRGPLJ-UHFFFAOYSA-N,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
YWBVHLJPRPCRSD-UHFFFAOYSA-N,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
SBPBAQFWLVIOKP-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
XBCXJKGHPABGSD-UHFFFAOYSA-N,Cn1ccc(=O)[nH]c1=O
IDZYLIZKJFAXAS-UHFFFAOYSA-N,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
KUFFULVDNCHOFZ-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1
HYFLWBNQFMXCPA-UHFFFAOYSA-N,CCc1ccccc1C
DSNHSQKRULAAEI-UHFFFAOYSA-N,CCc1ccc(CC)cc1
LZDKZFUFMNSQCJ-UHFFFAOYSA-N,CCOCCOCC
PXAGFNRKXSYIHU-UHFFFAOYSA-N,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2C)n(C)c1=O
AGMMTXLNIQSRCG-UHFFFAOYSA-N,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
WIDMDEHGDAFXAJ-UHFFFAOYSA-N,CC(=O)N(c1onc(C)c1C)[S+]([O-])c1ccc(N)cc1
CPMZWWWXIWHTMU-UHFFFAOYSA-N,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1
SQNZJJAZBFDUTD-UHFFFAOYSA-N,Cc1cc(C)c(C)cc1C
ZCDHRBAYNFWZBH-UHFFFAOYSA-N,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O
ZQEIXNIJLIKNTD-UHFFFAOYSA-N,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
NOOLISFMXDJSKH-UHFFFAOYSA-N,CC1CCC(C(C)C)C(O)C1
XRMVWAKMXZNZIL-UHFFFAOYSA-N,CCC(C)(C)CO
RJUFJBKOKNCXHH-UHFFFAOYSA-N,CCC(=O)OC
ISMYLNZMKJLINI-UHFFFAOYSA-N,CCN1C(=O)c2cccnc2N(CC)c2ncccc21
PQNFLJBBNBOBRQ-UHFFFAOYSA-N,c1ccc2c(c1)CCC2
HAXBIWFMXWRORI-UHFFFAOYSA-N,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,CCCCCCC(C)=O
XLNZEKHULJKQBA-UHFFFAOYSA-N,CCOP(=S)(OCC)SCSC(C)(C)C
ONXPZLFXDMAPRO-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
SNMVRZFUUCLYTO-UHFFFAOYSA-N,CCCCl
APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1ccc2ccccc2c1
LPAGFVYQRIESJQ-UHFFFAOYSA-N,c1ccc2c(c1)CCN2
ISEUFVQQFVOBCY-UHFFFAOYSA-N,COc1nc(NC(C)C)nc(NC(C)C)n1
STDBAQMTJLUMFW-UHFFFAOYSA-N,CCCCC1(CC)C(=O)NC(=O)NC1=O
DSRNRYQBBJQVCW-UHFFFAOYSA-N,COc1ccc(NC(=O)N(C)C)cc1Cl
LQAVWYMTUMSFBE-UHFFFAOYSA-N,C=CCCCO
ZFRKQXVRDFCRJG-UHFFFAOYSA-N,Cc1c[nH]c2ccccc12
OPXLLQIJSORQAM-UHFFFAOYSA-N,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
STJLVHWMYQXCPB-UHFFFAOYSA-N,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
CXOWYJMDMMMMJO-UHFFFAOYSA-N,CCCC(C)(C)C
IWTBVKIGCDZRPL-UHFFFAOYSA-N,CCC(C)CCO
XIGAUIHYSDTJHW-UHFFFAOYSA-N,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1
WDCYWAQPCXBPJA-UHFFFAOYSA-N,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
NMUINCUJOZFODB-UHFFFAOYSA-N,COc1cnc2cncnc2n1
WAPNOHKVXSQRPX-UHFFFAOYSA-N,CC(O)c1ccccc1
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,CC(C)OC(C)C
AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1
CATSNJVOTSVZJV-UHFFFAOYSA-N,CCCCCC(C)=O
NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1
XDNBJTQLKCIJBV-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1
YTPLMLYBLZKORZ-UHFFFAOYSA-N,c1ccsc1
UCLKLGIYGBLTSM-UHFFFAOYSA-N,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
NFDFQCUYFHCNBW-UHFFFAOYSA-N,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O
DFCAFRGABIXSDS-UHFFFAOYSA-N,CCSC(=O)N(CC)C1CCCCC1
FJKIXWOMBXYWOQ-UHFFFAOYSA-N,C=COCC
DRUIESSIVFYOMK-UHFFFAOYSA-N,N#CC(Cl)(Cl)Cl
MLUCVPSAIODCQM-UHFFFAOYSA-N,CC=CC=O
INISTDXBRIBGOC-UHFFFAOYSA-N,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
HFHZKZSRXITVMK-UHFFFAOYSA-N,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
KJFMBFZCATUALV-UHFFFAOYSA-N,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
QGXBDMJGAMFCBF-UHFFFAOYSA-N,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
JRLPEMVDPFPYPJ-UHFFFAOYSA-N,CCc1ccc(C)cc1
YGOGAACPYALXRT-UHFFFAOYSA-N,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O
AMRQXHFXNZFDCH-UHFFFAOYSA-N,CCNC(=O)C(C)OC(=O)Nc1ccccc1
QSSXJPIWXQTSIX-UHFFFAOYSA-N,Cc1ccccc1Br
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)[nH]c1ccccc12
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O
RUFPHBVGCFYCNW-UHFFFAOYSA-N,Nc1cccc2ccccc12
PBBGSZCBWVPOOL-UHFFFAOYSA-N,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
MLUCVPSAIODCQM-NSCUHMNNSA-N,C/C=C/C=O
VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C
KAATUXNTWXVJKI-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
SSLKKMZJCJBOML-UHFFFAOYSA-N,CCN(CC)C(=O)CSc1ccc(Cl)nn1
RDXLYGJSWZYTFJ-UHFFFAOYSA-N,O=C1NCCN1c1ncc([N+](=O)[O-])s1
KRTSDMXIXPKRQR-UHFFFAOYSA-N,CNC(=O)C=C(C)OP(=O)(OC)OC
VQDXQNNYGSEHPU-UHFFFAOYSA-N,O=C1NC(=O)C2(CCC2)C(=O)N1
YPHMISFOHDHNIV-UHFFFAOYSA-N,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
QQONPFPTGQHPMA-UHFFFAOYSA-N,C=CC
AMEKQAFGQBKLKX-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
XCKRRIQXHFBKKB-UHFFFAOYSA-N,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1
NPPQSCRMBWNHMW-UHFFFAOYSA-N,CCCC(C)(COC(N)=O)COC(N)=O
UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl
GEDIWDLJKRKBFT-UHFFFAOYSA-N,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1
GOOHAUXETOMSMM-UHFFFAOYSA-N,CC1CO1
QZYHIOPPLUPUJF-UHFFFAOYSA-N,Cc1cccc([N+](=O)[O-])c1
PLIKAWJENQZMHA-UHFFFAOYSA-N,Nc1ccc(O)cc1
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO
NDDAHWYSQHTHNT-UHFFFAOYSA-N,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl
MFOUDYKPLGXPGO-UHFFFAOYSA-N,CC(C)N(C(=O)CCl)c1ccccc1
UMGDCJDMYOKAJW-UHFFFAOYSA-N,NC(N)=S
ULBXWWGWDPVHAO-UHFFFAOYSA-N,C#CC(C)OC(=O)Nc1cccc(Cl)c1
YZWKKMVJZFACSU-UHFFFAOYSA-N,CCCCCBr
JMBQKKAJIKAWKF-UHFFFAOYSA-N,CCC1(c2ccccc2)CCC(=O)NC1=O
LHXDLQBQYFFVNW-UHFFFAOYSA-N,CC12CCC(C1)C(C)(C)C2=O
SNHMUERNLJLMHN-UHFFFAOYSA-N,Ic1ccccc1
UNAHYJYOSSSJHH-UHFFFAOYSA-N,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC
HPQURZRDYMUHJI-UHFFFAOYSA-N,CCCCCC1CCCC1
CSHWQDPOILHKBI-UHFFFAOYSA-N,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
BZHMBWZPUJHVEE-UHFFFAOYSA-N,CC(C)CC(C)C
ZXIJMRYMVAMXQP-UHFFFAOYSA-N,C1=CCCCCC1
PDRGHUMCVRDZLQ-UHFFFAOYSA-N,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O
IROINLKCQGIITA-UHFFFAOYSA-N,CCNc1nc(NC(C)(C)C)nc(SC)n1
YWDUZLFWHVQCHY-UHFFFAOYSA-N,Brc1cc(Br)cc(Br)c1
NPDACUSDTOMAMK-UHFFFAOYSA-N,Cc1ccc(Cl)cc1
UFNIBRDIUNVOMX-UHFFFAOYSA-N,Clc1ccc(-c2ccccc2Cl)cc1
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,CCCCC=O
LCCNCVORNKJIRZ-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
AVQQQNCBBIEMEU-UHFFFAOYSA-N,CN(C)C(=O)N(C)C
SLZWBCGZQRRUNG-UHFFFAOYSA-N,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1
IYXGSMUGOJNHAZ-UHFFFAOYSA-N,CCOC(=O)CC(=O)OCC
CWJSHJJYOPWUGX-UHFFFAOYSA-N,CC(C)OC(=O)Nc1cccc(Cl)c1
MBRLOUHOWLUMFF-UHFFFAOYSA-N,COc1ccc2ccc(=O)oc2c1CC=C(C)C
VKCYHJWLYTUGCC-UHFFFAOYSA-N,CCCCCCCC(C)=O
BBMMISOHGVCAMY-UHFFFAOYSA-N,CN1C(=O)c2cccnc2Oc2ccccc21
XCSGPAVHZFQHGE-UHFFFAOYSA-N,CCc1cccc(CC)c1N(COC)C(=O)CCl
FBFCVJNZKBVVRP-UHFFFAOYSA-N,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
KWKAKUADMBZCLK-UHFFFAOYSA-N,C=CCCCCCC
KAKZBPTYRLMSJV-UHFFFAOYSA-N,C=CC=C
WTEVQBCEXWBHNA-UHFFFAOYSA-N,CC(C)=CCCC(C)=CC=O
OLWXRKNZPGNRLT-UHFFFAOYSA-N,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
HXVNBWAKAOHACI-UHFFFAOYSA-N,CC(C)C(=O)C(C)C
FMLSQAUAAGVTJO-UHFFFAOYSA-N,CC(C)CC(C)(C)O
FLKPEMZONWLCSK-UHFFFAOYSA-N,CCOC(=O)c1ccccc1C(=O)OCC
SBYAVOHNDJTVPA-UHFFFAOYSA-N,CC(C)CNC(=O)N1CCNC1=O
YNDXUCZADRHECN-UHFFFAOYSA-N,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
HYPRUQJUBWRVEM-UHFFFAOYSA-N,O=C1NC(=O)C2(CCCC2)C(=O)N1
DGBIGWXXNGSACT-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
FSNFYCPCXFQJSI-UHFFFAOYSA-N,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1
RENMDAKOXSCIGH-UHFFFAOYSA-N,N#CCCl
KSCFJBIXMNOVSH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O
QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O
PVWOIHVRPOBWPI-UHFFFAOYSA-N,CCCI
NBQCNZYJJMBDKY-UHFFFAOYSA-N,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1
QPADNTZLUBYNEN-UHFFFAOYSA-N,C=CCC1(CC)C(=O)NC(=O)NC1=O
LHGVFZTZFXWLCP-UHFFFAOYSA-N,COc1ccccc1O
FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1
WWJZWCUNLNYYAU-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,CC(C)c1ccc(NC(=O)N(C)C)cc1
BRBKOPJOKNSWSG-UHFFFAOYSA-N,N=C(N)NS(=O)(=O)c1ccc(N)cc1
PGMYKACGEOXYJE-UHFFFAOYSA-N,CCCCCOC(C)=O
URAYPUMNDPQOKB-UHFFFAOYSA-N,CC(=O)OCC(COC(C)=O)OC(C)=O
DOWJXOHBNXRUOD-UHFFFAOYSA-N,Cc1cccc2c1ccc1ccccc12
ISRUGXGCCGIOQO-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1OC(C)C
TVDYTVXARUOWKL-UHFFFAOYSA-N,COC1=C(OC)C2C(=O)OCC2C=C1
VWXIHLCLIOQWRA-UHFFFAOYSA-N,O=c1nc2nccnc2c[nH]1
JZUFKLXOESDKRF-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
SDJHPPZKZZWAKF-UHFFFAOYSA-N,C=C(C)C(=C)C
AWJUIBRHMBBTKR-UHFFFAOYSA-N,c1ccc2cnccc2c1
VIROVYVQCGLCII-UHFFFAOYSA-N,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
GJRQTCIYDGXPES-UHFFFAOYSA-N,CC(=O)OCC(C)C
TZIHFWKZFHZASV-UHFFFAOYSA-N,COC=O
RGHHSNMVTDWUBI-UHFFFAOYSA-N,O=Cc1ccc(O)cc1
NGDNVOAEIVQRFH-UHFFFAOYSA-N,CCCCCCCC(C)O
QXKPLNCZSFACPU-UHFFFAOYSA-N,Cc1ccc2ccc(C)nc2c1
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O
FMGSKLZLMKYGDP-UHFFFAOYSA-N,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
MWBPRDONLNQCFV-UHFFFAOYSA-N,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC12CCC(CC1=O)C2(C)C
